科类,年份,分数,最低位次,最高位次,同分人数
文科,2024,667,1,51,51
文科,2024,666,52,58,7
文科,2024,665,59,62,4
文科,2024,664,63,66,4
文科,2024,663,67,71,5
文科,2024,662,72,78,7
文科,2024,661,79,86,8
文科,2024,660,87,93,7
文科,2024,659,94,98,5
文科,2024,658,99,107,9
文科,2024,657,108,113,6
文科,2024,656,114,129,16
文科,2024,655,130,137,8
文科,2024,654,138,151,14
文科,2024,653,152,162,11
文科,2024,652,163,177,15
文科,2024,651,178,191,14
文科,2024,650,192,207,16
文科,2024,649,208,221,14
文科,2024,648,222,239,18
文科,2024,647,240,266,27
文科,2024,646,267,285,19
文科,2024,645,286,315,30
文科,2024,644,316,335,20
文科,2024,643,336,355,20
文科,2024,642,356,380,25
文科,2024,641,381,406,26
文科,2024,640,407,429,23
文科,2024,639,430,458,29
文科,2024,638,459,485,27
文科,2024,637,486,518,33
文科,2024,636,519,549,31
文科,2024,635,550,583,34
文科,2024,634,584,616,33
文科,2024,633,617,673,57
文科,2024,632,674,711,38
文科,2024,631,712,750,39
文科,2024,630,751,797,47
文科,2024,629,798,844,47
文科,2024,628,845,892,48
文科,2024,627,893,931,39
文科,2024,626,932,983,52
文科,2024,625,984,1033,50
文科,2024,624,1034,1083,50
文科,2024,623,1084,1142,59
文科,2024,622,1143,1206,64
文科,2024,621,1207,1264,58
文科,2024,620,1265,1335,71
文科,2024,619,1336,1411,76
文科,2024,618,1412,1479,68
文科,2024,617,1480,1554,75
文科,2024,616,1555,1628,74
文科,2024,615,1629,1700,72
文科,2024,614,1701,1782,82
文科,2024,613,1783,1867,85
文科,2024,612,1868,1944,77
文科,2024,611,1945,2056,112
文科,2024,610,2057,2162,106
文科,2024,609,2163,2251,89
文科,2024,608,2252,2352,101
文科,2024,607,2353,2446,94
文科,2024,606,2447,2561,115
文科,2024,605,2562,2679,118
文科,2024,604,2680,2789,110
文科,2024,603,2790,2900,111
文科,2024,602,2901,3017,117
文科,2024,601,3018,3163,146
文科,2024,600,3164,3268,105
文科,2024,599,3269,3396,128
文科,2024,598,3397,3524,128
文科,2024,597,3525,3662,138
文科,2024,596,3663,3791,129
文科,2024,595,3792,3931,140
文科,2024,594,3932,4078,147
文科,2024,593,4079,4238,160
文科,2024,592,4239,4389,151
文科,2024,591,4390,4531,142
文科,2024,590,4532,4717,186
文科,2024,589,4718,4899,182
文科,2024,588,4900,5059,160
文科,2024,587,5060,5210,151
文科,2024,586,5211,5409,199
文科,2024,585,5410,5580,171
文科,2024,584,5581,5751,171
文科,2024,583,5752,5939,188
文科,2024,582,5940,6112,173
文科,2024,581,6113,6292,180
文科,2024,580,6293,6509,217
文科,2024,579,6510,6707,198
文科,2024,578,6708,6930,223
文科,2024,577,6931,7146,216
文科,2024,576,7147,7349,203
文科,2024,575,7350,7555,206
文科,2024,574,7556,7776,221
文科,2024,573,7777,7990,214
文科,2024,572,7991,8221,231
文科,2024,571,8222,8445,224
文科,2024,570,8446,8711,266
文科,2024,569,8712,8939,228
文科,2024,568,8940,9184,245
文科,2024,567,9185,9416,232
文科,2024,566,9417,9679,263
文科,2024,565,9680,9973,294
文科,2024,564,9974,10250,277
文科,2024,563,10251,10518,268
文科,2024,562,10519,10801,283
文科,2024,561,10802,11057,256
文科,2024,560,11058,11341,284
文科,2024,559,11342,11610,269
文科,2024,558,11611,11921,311
文科,2024,557,11922,12231,310
文科,2024,556,12232,12554,323
文科,2024,555,12555,12842,288
文科,2024,554,12843,13140,298
文科,2024,553,13141,13443,303
文科,2024,552,13444,13731,288
文科,2024,551,13732,14034,303
文科,2024,550,14035,14324,290
文科,2024,549,14325,14660,336
文科,2024,548,14661,14981,321
文科,2024,547,14982,15336,355
文科,2024,546,15337,15660,324
文科,2024,545,15661,16031,371
文科,2024,544,16032,16400,369
文科,2024,543,16401,16788,388
文科,2024,542,16789,17143,355
文科,2024,541,17144,17502,359
文科,2024,540,17503,17872,370
文科,2024,539,17873,18270,398
文科,2024,538,18271,18637,367
文科,2024,537,18638,19011,374
文科,2024,536,19012,19381,370
文科,2024,535,19382,19771,390
文科,2024,534,19772,20137,366
文科,2024,533,20138,20521,384
文科,2024,532,20522,20900,379
文科,2024,531,20901,21304,404
文科,2024,530,21305,21675,371
文科,2024,529,21676,22075,400
文科,2024,528,22076,22474,399
文科,2024,527,22475,22891,417
文科,2024,526,22892,23315,424
文科,2024,525,23316,23730,415
文科,2024,524,23731,24145,415
文科,2024,523,24146,24556,411
文科,2024,522,24557,24966,410
文科,2024,521,24967,25421,455
文科,2024,520,25422,25859,438
文科,2024,519,25860,26269,410
文科,2024,518,26270,26694,425
文科,2024,517,26695,27137,443
文科,2024,516,27138,27587,450
文科,2024,515,27588,28038,451
文科,2024,514,28039,28457,419
文科,2024,513,28458,28900,443
文科,2024,512,28901,29374,474
文科,2024,511,29375,29819,445
文科,2024,510,29820,30294,475
文科,2024,509,30295,30761,467
文科,2024,508,30762,31228,467
文科,2024,507,31229,31719,491
文科,2024,506,31720,32203,484
文科,2024,505,32204,32642,439
文科,2024,504,32643,33128,486
文科,2024,503,33129,33594,466
文科,2024,502,33595,34063,469
文科,2024,501,34064,34551,488
文科,2024,500,34552,35038,487
文科,2024,499,35039,35560,522
文科,2024,498,35561,36053,493
文科,2024,497,36054,36540,487
文科,2024,496,36541,37048,508
文科,2024,495,37049,37514,466
文科,2024,494,37515,37993,479
文科,2024,493,37994,38505,512
文科,2024,492,38506,39016,511
文科,2024,491,39017,39498,482
文科,2024,490,39499,40038,540
文科,2024,489,40039,40544,506
文科,2024,488,40545,41017,473
文科,2024,487,41018,41535,518
文科,2024,486,41536,42034,499
文科,2024,485,42035,42531,497
文科,2024,484,42532,43026,495
文科,2024,483,43027,43516,490
文科,2024,482,43517,44009,493
文科,2024,481,44010,44527,518
文科,2024,480,44528,45033,506
文科,2024,479,45034,45547,514
文科,2024,478,45548,46049,502
文科,2024,477,46050,46588,539
文科,2024,476,46589,47126,538
文科,2024,475,47127,47614,488
文科,2024,474,47615,48135,521
文科,2024,473,48136,48670,535
文科,2024,472,48671,49207,537
文科,2024,471,49208,49770,563
文科,2024,470,49771,50299,529
文科,2024,469,50300,50842,543
文科,2024,468,50843,51386,544
文科,2024,467,51387,51903,517
文科,2024,466,51904,52435,532
文科,2024,465,52436,52945,510
文科,2024,464,52946,53514,569
文科,2024,463,53515,54005,491
文科,2024,462,54006,54536,531
文科,2024,461,54537,55056,520
文科,2024,460,55057,55562,506
文科,2024,459,55563,56088,526
文科,2024,458,56089,56628,540
文科,2024,457,56629,57179,551
文科,2024,456,57180,57738,559
文科,2024,455,57739,58252,514
文科,2024,454,58253,58812,560
文科,2024,453,58813,59375,563
文科,2024,452,59376,59921,546
文科,2024,451,59922,60486,565
文科,2024,450,60487,61081,595
文科,2024,449,61082,61614,533
文科,2024,448,61615,62139,525
文科,2024,447,62140,62685,546
文科,2024,446,62686,63259,574
文科,2024,445,63260,63810,551
文科,2024,444,63811,64378,568
文科,2024,443,64379,64939,561
文科,2024,442,64940,65514,575
文科,2024,441,65515,66094,580
文科,2024,440,66095,66660,566
文科,2024,439,66661,67218,558
文科,2024,438,67219,67810,592
